3;Red;18:57;Dia: 18/01/2023;R$ 4.390,55;R$ 7.162,13;R$ 2.034,20;8kGbbMxQ1Z;145;16;5;48
14;Black;18:57;Dia: 18/01/2023;R$ 1.119,64;R$ 7.502,04;R$ 3.450,60;8r222B8mrb;20;24;6;7
1;Red;18:56;Dia: 18/01/2023;R$ 2.345,48;R$ 7.024,99;R$ 2.060,03;erWEEMD0kX;;25;10;
12;Black;18:56;Dia: 18/01/2023;R$ 1.956,83;R$ 7.335,47;R$ 1.619,42;V1qoo0GqlB;;20;8;
6;Red;18:55;Dia: 18/01/2023;R$ 1.296,61;R$ 8.183,76;R$ 1.587,07;Rl8XXZbdlK;;0;;
11;Black;18:55;Dia: 18/01/2023;R$ 1.707,03;R$ 9.102,62;R$ 7.234,19;5k0LLDwjkY;;;;
3;Red;18:54;Dia: 18/01/2023;R$ 1.456,53;R$ 8.716,83;R$ 5.341,69;z1xQQRAAkp;;;;
3;Red;18:54;Dia: 18/01/2023;R$ 1.578,02;R$ 7.845,68;R$ 4.675,20;V1eKKYQJlo;;;;
5;Red;18:53;Dia: 18/01/2023;R$ 1.579,43;R$ 7.201,34;R$ 3.403,57;qlPeeMndrz;;;;
6;Red;18:53;Dia: 18/01/2023;R$ 1.593,66;R$ 8.150,18;R$ 1.670,15;dlEaaMxOlv;;;;
0;White;18:52;Dia: 18/01/2023;R$ 1.422,77;R$ 6.469,49;R$ 2.337,54;mlN66MXmlv;;;;
3;Red;18:52;Dia: 18/01/2023;R$ 817,36;R$ 7.608,95;R$ 3.483,18;M19XXMpvrA;;;;
6;Red;18:51;Dia: 18/01/2023;R$ 2.086,56;R$ 7.054,13;R$ 1.745,79;ylLzzMno1G;;;;
12;Black;18:51;Dia: 18/01/2023;R$ 1.724,92;R$ 7.676,18;R$ 1.275,08;G17zzXy6rZ;;;;
6;Red;18:50;Dia: 18/01/2023;R$ 4.892,17;R$ 7.299,25;R$ 1.767,10;9rKbbMxOl6;;;;
9;Black;18:50;Dia: 18/01/2023;R$ 4.057,13;R$ 7.177,77;R$ 1.850,32;XlO55Mn01O;;;;
13;Black;18:49;Dia: 18/01/2023;R$ 2.055,29;R$ 6.908,65;R$ 1.484,31;WldVVpzV13;;;;
13;Black;18:49;Dia: 18/01/2023;R$ 2.096,12;R$ 7.070,03;R$ 2.469,28;elYnnMQorL;;;;
4;Red;18:48;Dia: 18/01/2023;R$ 993,17;R$ 6.730,15;R$ 2.645,04;R1p22xvLl5;;;;
3;Red;18:48;Dia: 18/01/2023;R$ 2.187,99;R$ 6.969,81;R$ 1.495,90;RkbWWyJNlL;;;;
14;Black;18:47;Dia: 18/01/2023;R$ 1.463,07;R$ 7.570,07;R$ 1.619,52;EryVV5YR1j;;;;
4;Red;18:47;Dia: 18/01/2023;R$ 3.341,31;R$ 6.976,08;R$ 1.555,82;AlAmmMeMlG;;;;
